Executed,Date,Income account,Income amount,Income balance,Expense account,Expense amount,Expense balance,Comment,Category of Статья,Category of Агент,Category of Проект
+,24/02/2009 19:59,,,,RUR - CitiBank Credit Card,"-1,253.90","135,301.67",,\Все статьи расхода\Здоровье\Лекарства,\Все платёжные агенты\Света,
+,24/02/2009 19:59,,,,RUR - CitiBank Credit Card,-418,"134,883.67",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,25/02/2009 20:33,RUR - Наличные,"25,860.00","32,181.30",,,,,\Все статьи прихода\Зарплата\наличные,\Все платёжные агенты\Вадим,
+,25/02/2009 20:35,,,,RUR - Наличные,-146,"32,035.30",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,25/02/2009 20:35,,,,RUR - Наличные,-120.73,"31,914.57",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,25/02/2009 20:36,,,,RUR - Наличные,-96.5,"31,818.07",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,25/02/2009 20:37,,,,RUR - Наличные,-72,"31,746.07",,\Все статьи расхода\Хомячело,\Все платёжные агенты\Вадим,
+,25/02/2009 20:49,,,,RUR - Наличные,"-2,843.48","28,902.59",,\Все статьи расхода\Дом\Квартплата,\Все платёжные агенты,
+,25/02/2009 20:50,,,,RUR - Наличные,"-3,140.00","25,762.59",,\Все статьи расхода\Благотворительность,\Все платёжные агенты,\Все проекты\Благотоворительность
+,26/02/2009 9:08,RUR - CitiBank Card,"7,178.00","56,054.77",,,,,\Все статьи прихода\Зарплата,\Все платёжные агенты\Света,
+,26/02/2009 21:54,,,,RUR - Наличные,-80.5,"25,682.09",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,26/02/2009 21:54,,,,RUR - Наличные,-140,"25,542.09",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,26/02/2009 21:55,RUR - Сбербанк Card,"1,000.00","1,208.83",RUR - Наличные,"-1,000.00","24,542.09",,,,
+,27/02/2009 20:56,,,,RUR - Наличные,-297.89,"24,244.20",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,27/02/2009 20:57,,,,RUR - Наличные,-188,"24,056.20",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,27/02/2009 20:58,,,,RUR - Наличные,-105,"23,951.20",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Света,
+,27/02/2009 20:59,,,,RUR - Наличные,-267,"23,684.20",,\Все статьи расхода\Здоровье\Лекарства,\Все платёжные агенты\Света,
+,27/02/2009 20:59,,,,RUR - Наличные,-500,"23,184.20",,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Вадим,
+,27/02/2009 21:56,,,,RUR - CitiBank Credit Card,-65,"134,818.67",,\Все статьи расхода\%,\Все платёжные агенты\Света,
+,28/02/2009 8:48,,,,RUR - Наличные,"-17,610.00","5,574.20",,\Все статьи расхода\Дом\Квартплата,\Все платёжные агенты,
+,28/02/2009 17:24,,,,RUR - Наличные,-203.1,"5,371.10",,\Все статьи расхода\Продукты\Питание дом\пиво,\Все платёжные агенты\Вадим,
+,28/02/2009 18:45,,,,RUR - Наличные,-300,"5,071.10",,\Все статьи расхода\Транспорт\Авто\Бензин,\Все платёжные агенты\Вадим,
+,28/02/2009 18:45,,,,RUR - Наличные,-100,"4,971.10",,\Все статьи расхода\Благотворительность,\Все платёжные агенты\Света,\Все проекты\Благотоворительность
+,28/02/2009 18:46,RUR - Наличные,"5,000.00","9,971.10",RUR - CitiBank Card,"-5,000.00","51,054.77",,,,
+,28/02/2009 18:46,,,,RUR - Наличные,-196.68,"9,774.42",,\Все статьи расхода\Дом\Бытовая химия,\Все платёжные агенты\Света,
+,28/02/2009 18:47,,,,RUR - Наличные,-420,"9,354.42",наушники,\Все статьи расхода\Техника\Бытовая техника,\Все платёжные агенты\Вадим,
+,28/02/2009 18:48,,,,RUR - Наличные,-409,"8,945.42",,\Все статьи расхода\Средства гигиены и косметика,\Все платёжные агенты\Вадим,
+,28/02/2009 18:49,,,,RUR - Наличные,"-1,679.06","7,266.36",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,28/02/2009 18:51,,,,RUR - CitiBank Credit Card,-591,"134,227.67",,\Все статьи расхода\Хомячело,\Все платёжные агенты,
+,1/03/2009 17:24,,,,RUR - Наличные,-210,"7,056.36",,\Все статьи расхода\Транспорт\Авто\Бензин,\Все платёжные агенты\Вадим,
+,1/03/2009 17:25,,,,RUR - Наличные,-230,"6,826.36",,\Все статьи расхода\Продукты\Точки общепита,\Все платёжные агенты\Света,
+,1/03/2009 17:26,,,,RUR - Наличные,-60,"6,766.36",,\Все статьи расхода\Продукты\Точки общепита,\Все платёжные агенты\Вадим,
+,1/03/2009 17:26,,,,RUR - Наличные,-240,"6,526.36",,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Вадим,
+,1/03/2009 17:26,RUR - Наличные,"3,000.00","9,526.36",RUR - CitiBank Card,"-3,000.00","48,054.77",,,,
+,1/03/2009 17:27,,,,RUR - Наличные,-960,"8,566.36",,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Света,
+,1/03/2009 17:33,,,,RUR - CitiBank Card,-65,"47,989.77",,\Все статьи расхода\%,\Все платёжные агенты\Света,
+,2/03/2009 20:35,,,,RUR - Наличные,-39,"8,527.36",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,2/03/2009 21:51,,,,RUR - Наличные,-134,"8,393.36",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,2/03/2009 21:52,,,,RUR - CitiBank Card,-500,"47,489.77",,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Вадим,
+,3/03/2009 19:57,,,,RUR - Наличные,-108,"8,285.36",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,3/03/2009 20:15,,,,RUR - Наличные,-140,"8,145.36",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,3/03/2009 20:16,,,,RUR - Наличные,-70,"8,075.36",,\Все статьи расхода\Хомячело,\Все платёжные агенты,\Все проекты
+,4/03/2009 21:46,RUR - Наличные,400,"8,475.36",RUR - CitiBank Card,-400,"47,089.77",,,,
+,4/03/2009 21:46,,,,RUR - Наличные,-200,"8,275.36",на работе,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Света,
+,4/03/2009 21:47,,,,RUR - Наличные,-125,"8,150.36",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,4/03/2009 21:47,,,,RUR - Наличные,-46,"8,104.36",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,4/03/2009 21:48,,,,RUR - CitiBank Credit Card,-179.43,"134,048.24",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,4/03/2009 21:49,RUR - CitiBank Credit Card,67.66,"134,115.90",,,,CashBack,\Все статьи прихода\Доходы по вкладам,\Все платёжные агенты\Света,
+,4/03/2009 22:00,RUR - CitiBank Credit Card,"5,900.00","140,015.90",RUR - CitiBank Card,"-5,900.00","41,189.77",,,,
+,5/03/2009 21:27,,,,RUR - CitiBank Credit Card,"-3,300.00","136,715.90",юбка,\Все статьи расхода\Одежда,\Все платёжные агенты\Света,
+,5/03/2009 21:27,,,,RUR - CitiBank Credit Card,"-1,190.00","135,525.90",рубашка,\Все статьи расхода\Одежда,\Все платёжные агенты\Света,
+,5/03/2009 21:28,,,,RUR - CitiBank Credit Card,-609,"134,916.90",конфеты на 8 марта,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Света,
+,5/03/2009 21:29,,,,RUR - CitiBank Credit Card,-201.3,"134,715.60",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,5/03/2009 21:30,,,,RUR - Наличные,-160,"7,944.36",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,5/03/2009 21:34,,,,RUR - Наличные,-25,"7,919.36",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Света,
+,6/03/2009 20:05,,,,RUR - Наличные,-500,"7,419.36",,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Вадим,
+,6/03/2009 20:07,,,,RUR - Наличные,-183,"7,236.36",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,6/03/2009 20:07,,,,RUR - Наличные,-186,"7,050.36",овощи,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,6/03/2009 20:09,,,,RUR - CitiBank Credit Card,-279.9,"134,435.70",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,7/03/2009 8:50,,,,RUR - CitiBank Credit Card,"-1,188.00","133,247.70",Ане,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты,
+,8/03/2009 8:51,,,,RUR - CitiBank Credit Card,-332,"132,915.70",для умывания,\Все статьи расхода\Средства гигиены и косметика\косметика,\Все платёжные агенты\Света,
+,8/03/2009 8:51,,,,RUR - Наличные,-200,"6,850.36",,\Все статьи расхода\Связь\телефон - ip,\Все платёжные агенты,
+,8/03/2009 19:30,,,,RUR - CitiBank Credit Card,-516.1,"132,399.60",Игорю билет в Курск,\Все статьи расхода\Долг,\Все платёжные агенты\Вадим,
+,8/03/2009 19:33,,,,RUR - Наличные,-360,"6,490.36",цветы Ане,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Вадим,
+,8/03/2009 19:34,,,,RUR - Наличные,-69,"6,421.36",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,9/03/2009 20:50,,,,RUR - CitiBank Credit Card,-500,"131,899.60",,\Все статьи расхода\Связь\Интернет,\Все платёжные агенты,
+,9/03/2009 20:52,,,,RUR - Наличные,-200,"6,221.36",,\Все статьи расхода\Транспорт\Авто\Бензин,\Все платёжные агенты\Вадим,
+,9/03/2009 20:52,,,,RUR - Наличные,-70,"6,151.36",крокус,\Все статьи расхода\Продукты\Точки общепита,\Все платёжные агенты,
+,9/03/2009 20:53,,,,RUR - Наличные,-170,"5,981.36",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
,9/03/2009 20:54,RUR - Наличные,"1,000.00",,,,,Нам дал Женя на покупку памяти,\Все статьи прихода\Возврат долга,\Все платёжные агенты\Вадим,
+,9/03/2009 20:54,,,,RUR - Наличные,-178,"5,803.36",овощи,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,10/03/2009 22:27,,,,RUR - Наличные,-131,"5,672.36",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,10/03/2009 22:27,,,,RUR - Наличные,-10,"5,662.36",Игнату,\Все статьи расхода\Долг,\Все платёжные агенты\Вадим,
+,10/03/2009 22:27,,,,RUR - Наличные,-282,"5,380.36",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,10/03/2009 22:31,,,,RUR - CitiBank Credit Card,-689.48,"131,210.12",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,11/03/2009 20:36,RUR - CitiBank Card,"55,087.82","96,277.59",,,,,\Все статьи прихода\Зарплата,\Все платёжные агенты\Света,
+,11/03/2009 20:36,,,,RUR - Наличные,-190,"5,190.36",,\Все статьи расхода\Продукты\Питание работа,,
+,11/03/2009 20:36,,,,RUR - Наличные,-200,"4,990.36",на работе,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Света,
+,11/03/2009 20:37,,,,RUR - Наличные,-25,"4,965.36",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,11/03/2009 20:42,,,,RUR - CitiBank Card,-300,"95,977.59",,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Света,
+,11/03/2009 21:47,,,,RUR - CitiBank Credit Card,"-1,155.90","130,054.22",,\Все статьи расхода\Транспорт\Билеты,\Все платёжные агенты\Вадим,
+,12/03/2009 20:49,RUR - Наличные,"7,000.00","11,965.36",RUR - CitiBank Card,"-7,000.00","88,977.59",,,,
+,12/03/2009 20:49,,,,RUR - Наличные,-110,"11,855.36",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
,12/03/2009 20:49,,,,RUR - Наличные,-620,,Таблетки Баланины,\Все статьи расхода\Долг,\Все платёжные агенты\Света,
+,13/03/2009 20:53,,,,RUR - Наличные,-50,"11,805.36",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Вадим,
+,13/03/2009 20:53,,,,RUR - Наличные,-10,"11,795.36",Лене,\Все статьи расхода\Долг,\Все платёжные агенты\Света,
+,13/03/2009 20:54,,,,RUR - Наличные,-73,"11,722.36",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,13/03/2009 20:55,,,,RUR - Наличные,-23,"11,699.36",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
,13/03/2009 20:55,,,,RUR - Наличные,-420,,Фотоэлемент,\Все статьи расхода\Долг,\Все платёжные агенты\Света,
+,14/03/2009 7:22,,,,RUR - Наличные,"-1,000.00","10,699.36",,\Все статьи расхода\Средства гигиены и косметика\Стрижка,\Все платёжные агенты\Света,
+,14/03/2009 7:24,,,,RUR - Наличные,-50,"10,649.36",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Света,
+,14/03/2009 7:24,,,,RUR - Наличные,-72,"10,577.36",,\Все статьи расхода\Средства гигиены и косметика\крем,\Все платёжные агенты\Света,
+,14/03/2009 19:50,,,,RUR - Внешторгбанк,-294.15,-265,оплата за банковское обслуживание,\Все статьи расхода\%,\Все платёжные агенты\Света,
+,14/03/2009 19:52,RUR - Внешторгбанк,265,0,RUR - Наличные,-265,"10,312.36",закрытие карты,,,
+,14/03/2009 19:53,,,,RUR - Наличные,"-2,445.30","7,867.06",авто страхование,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Вадим,
+,14/03/2009 19:54,,,,RUR - Наличные,"-1,025.00","6,842.06",,\Все статьи расхода\Транспорт\Авто\Бензин,\Все платёжные агенты\Вадим,
+,14/03/2009 19:54,,,,RUR - Наличные,-30,"6,812.06",лотерейка,"\Все статьи расхода\Досуг, развлечения\информ.-развл.",\Все платёжные агенты\Вадим,
+,14/03/2009 19:56,,,,RUR - Наличные,-267.4,"6,544.66",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,14/03/2009 20:01,,,,RUR - Наличные,-10,"6,534.66",бумажные платочки,\Все статьи расхода\Дом\Бытовая химия,\Все платёжные агенты\Света,\Все проекты\Благотоворительность
+,15/03/2009 18:57,,,,RUR - Наличные,-182.09,"6,352.57",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,15/03/2009 19:00,,,,RUR - Наличные,-290,"6,062.57",Крюковы,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Вадим,
+,15/03/2009 19:01,,,,RUR - Наличные,-300,"5,762.57",,\Все статьи расхода\Транспорт\Авто\Бензин,\Все платёжные агенты\Вадим,
+,15/03/2009 19:02,,,,RUR - Наличные,-75,"5,687.57",,\Все статьи расхода\Продукты\Точки общепита,\Все платёжные агенты\Вадим,
+,15/03/2009 19:02,,,,RUR - Наличные,-150,"5,537.57",такси,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Вадим,
+,15/03/2009 19:03,,,,RUR - Наличные,"-1,100.00","4,437.57",техосмотр,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Вадим,
+,15/03/2009 20:21,RUR - Наличные,"1,000.00","5,437.57",RUR - CitiBank Card,"-1,000.00","87,977.59",,,,
+,15/03/2009 20:23,,,,RUR - Наличные,-214,"5,223.57",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,16/03/2009 7:25,,,,RUR - Наличные,-285,"4,938.57",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,16/03/2009 7:27,,,,RUR - Наличные,"-17,012.00","-12,073.43",,\Все статьи расхода\Обучение\Английский язык,\Все платёжные агенты\Света,\Все проекты\Иммиграция
+,16/03/2009 7:27,,,,RUR - Наличные,-545,"-12,618.43",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Света,
+,16/03/2009 18:59,,,,RUR - Наличные,-25,"-12,643.43",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Вадим,
+,16/03/2009 19:04,RUR - Наличные,"1,500.00","-11,143.43",,,,БК Наталье,\Все статьи прихода\Подработка,\Все платёжные агенты\Вадим,
+,16/03/2009 19:06,,,,RUR - Наличные,-235.5,"-11,378.93",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,16/03/2009 20:21,RUR - Наличные,"18,000.00","6,621.07",RUR - CitiBank Card,"-18,000.00","69,977.59",,,,
+,17/03/2009 7:44,RUR - CitiBank Credit Card,"10,000.00","140,054.22",RUR - CitiBank Card,"-10,000.00","59,977.59",,,,
+,17/03/2009 7:44,,,,RUR - CitiBank Card,-100,"59,877.59",,\Все статьи расхода\%,\Все платёжные агенты\Света,
+,17/03/2009 20:23,,,,RUR - Наличные,-20,"6,601.07",,\Все статьи расхода\Хомячело,\Все платёжные агенты\Света,
+,17/03/2009 20:25,,,,RUR - Наличные,-145,"6,456.07",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,17/03/2009 20:25,,,,RUR - Наличные,-307,"6,149.07",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,17/03/2009 20:31,,,,RUR - Наличные,-206,"5,943.07",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,18/03/2009 7:30,,,,RUR - Наличные,-25,"5,918.07",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Вадим,
+,18/03/2009 7:38,,,,RUR - Наличные,-177,"5,741.07",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,18/03/2009 7:58,,,,RUR - Наличные,-27,"5,714.07",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,19/03/2009 22:13,,,,RUR - Наличные,"-2,000.00","3,714.07",,\Все статьи расхода\Обучение\Английский язык,\Все платёжные агенты\Вадим,\Все проекты\Иммиграция
+,19/03/2009 22:14,,,,RUR - Наличные,-118,"3,596.07",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,20/03/2009 21:31,,,,RUR - Наличные,-44,"3,552.07",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Света,
+,20/03/2009 21:32,,,,RUR - Наличные,-110,"3,442.07",,\Все статьи расхода\Продукты\Точки общепита,\Все платёжные агенты,
+,20/03/2009 21:34,,,,RUR - Наличные,-183,"3,259.07",,\Все статьи расхода\Продукты\Питание работа,,
+,20/03/2009 21:34,,,,RUR - Наличные,-165,"3,094.07",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Света,
+,21/03/2009 8:44,,,,RUR - Наличные,-50,"3,044.07",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Вадим,
+,21/03/2009 8:45,,,,RUR - Наличные,-185,"2,859.07",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,22/03/2009 18:52,,,,RUR - Наличные,-313,"2,546.07",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,22/03/2009 18:53,,,,RUR - Наличные,-48,"2,498.07",крем+салфетки,\Все статьи расхода\Средства гигиены и косметика\крем,\Все платёжные агенты\Света,
+,22/03/2009 18:54,RUR - Наличные,"5,000.00","7,498.07",RUR - CitiBank Card,"-5,000.00","54,877.59",,,,
+,22/03/2009 18:54,,,,RUR - Наличные,"-3,940.00","3,558.07",сапоги,\Все статьи расхода\Одежда\обувь,\Все платёжные агенты\Света,
+,22/03/2009 18:55,,,,RUR - CitiBank Card,-100,"54,777.59",за перевод,\Все статьи расхода\%,\Все платёжные агенты\Света,
+,23/03/2009 21:52,,,,RUR - Наличные,-111,"3,447.07",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,23/03/2009 21:53,,,,RUR - Наличные,-118,"3,329.07",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,24/03/2009 18:04,,,,RUR - CitiBank Credit Card,"-1,032.20","139,022.02",,\Все статьи расхода\Транспорт\Билеты,\Все платёжные агенты,
+,24/03/2009 21:47,RUR - Наличные,"23,800.00","27,129.07",,,,,\Все статьи прихода\Зарплата,\Все платёжные агенты\Вадим,
+,24/03/2009 21:47,RUR - Сбербанк Card,"1,000.00","2,208.83",RUR - Наличные,"-1,000.00","26,129.07",,,,
+,24/03/2009 21:48,,,,RUR - Наличные,-26,"26,103.07",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Вадим,
+,24/03/2009 21:53,,,,RUR - Наличные,-102,"26,001.07",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,24/03/2009 21:54,,,,RUR - Наличные,"-2,671.50","23,329.57",,\Все статьи расхода\Дом\Квартплата,\Все платёжные агенты,
+,24/03/2009 21:56,,,,RUR - Наличные,"-3,090.00","20,239.57",,\Все статьи расхода\Благотворительность,\Все платёжные агенты,\Все проекты\Благотоворительность
+,25/03/2009 22:45,,,,RUR - Наличные,-890,"19,349.57",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Вадим,
+,25/03/2009 22:46,,,,RUR - Наличные,-145,"19,204.57",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,25/03/2009 22:47,,,,RUR - CitiBank Card,-300,"54,477.59",,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Вадим,
+,25/03/2009 22:47,,,,RUR - CitiBank Card,-300,"54,177.59",,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Света,
+,26/03/2009 14:27,,,,RUR - Наличные,-200,"19,004.57",,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Света,
+,26/03/2009 14:35,RUR - CitiBank Card,"7,178.00","61,355.59",,,,,\Все статьи прихода\Зарплата,\Все платёжные агенты\Света,
+,26/03/2009 22:36,,,,RUR - Наличные,-277,"18,727.57",,\Все статьи расхода\Продукты\Точки общепита,\Все платёжные агенты,
+,26/03/2009 22:42,,,,RUR - Наличные,-177,"18,550.57",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,26/03/2009 22:43,,,,RUR - Наличные,-172.5,"18,378.07",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,26/03/2009 22:45,,,,RUR - Наличные,-150,"18,228.07",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты,
+,27/03/2009 22:20,,,,RUR - Наличные,-242,"17,986.07",,\Все статьи расхода\Продукты\Точки общепита,\Все платёжные агенты\Света,
+,27/03/2009 22:28,,,,RUR - Наличные,-270,"17,716.07",игровые автоматы,\Все статьи расхода\Отдых,\Все платёжные агенты,
+,28/03/2009 22:23,,,,RUR - Наличные,-386.8,"17,329.27",удостоверение,\Все статьи расхода\Административные расходы,\Все платёжные агенты\Света,\Все проекты\Aспирантура
+,28/03/2009 22:25,,,,RUR - Наличные,-61.1,"17,268.17",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,28/03/2009 22:25,,,,RUR - Наличные,-497,"16,771.17",спойлер,\Все статьи расхода\Транспорт\Авто\Ремонт,\Все платёжные агенты\Вадим,
+,28/03/2009 22:26,,,,RUR - CitiBank Credit Card,-220,"138,802.02",решетка радиатора,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Вадим,
+,28/03/2009 22:27,,,,RUR - CitiBank Credit Card,-620,"138,182.02",,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Вадим,
+,28/03/2009 22:31,,,,RUR - CitiBank Credit Card,-767.8,"137,414.22",,\Все статьи расхода\Прочее,\Все платёжные агенты\Света,\Все проекты\Aспирантура
+,28/03/2009 22:32,,,,RUR - Наличные,-260,"16,511.17",Женьке,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Света,
+,28/03/2009 22:33,,,,RUR - Наличные,-300,"16,211.17",,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты,
+,28/03/2009 22:34,,,,RUR - Наличные,-378,"15,833.17",,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Вадим,
+,28/03/2009 22:34,,,,RUR - Наличные,-200,"15,633.17",,\Все статьи расхода\Транспорт\Авто\Бензин,\Все платёжные агенты\Вадим,
+,28/03/2009 22:38,,,,RUR - Наличные,-800,"14,833.17",,\Все статьи расхода\Продукты\Точки общепита,\Все платёжные агенты,
+,28/03/2009 22:39,RUR - Наличные,"1,000.00","15,833.17",,,,,\Все статьи прихода\Подарки,\Все платёжные агенты\Вадим,
+,29/03/2009 14:26,,,,RUR - Наличные,-941.5,"14,891.67",,\Все статьи расхода\Транспорт\Авто\Бензин,\Все платёжные агенты,
+,29/03/2009 14:28,,,,RUR - Наличные,-41.9,"14,849.77",,\Все статьи расхода\Продукты\Точки общепита,\Все платёжные агенты\Света,
+,29/03/2009 23:19,,,,RUR - Наличные,-346,"14,503.77",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,30/03/2009 23:04,RUR - Наличные,"7,000.00","21,503.77",RUR - CitiBank Card,"-7,000.00","54,355.59",,,,
+,30/03/2009 23:04,,,,RUR - Наличные,-300,"21,203.77",извозчик,\Все статьи расхода\Прочее,\Все платёжные агенты\Вадим,
+,30/03/2009 23:06,,,,RUR - Наличные,-50,"21,153.77",,\Все статьи расхода\Продукты\Точки общепита,\Все платёжные агенты\Вадим,
+,30/03/2009 23:06,,,,RUR - Наличные,-146.67,"21,007.10",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,30/03/2009 23:07,,,,RUR - Наличные,-83,"20,924.10",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Света,
+,30/03/2009 23:07,,,,RUR - Наличные,-281.1,"20,643.00",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,30/03/2009 23:08,,,,RUR - CitiBank Credit Card,-628.94,"136,785.28",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,31/03/2009 21:41,,,,RUR - CitiBank Credit Card,-675,"136,110.28",учебник,\Все статьи расхода\Обучение\Английский язык,\Все платёжные агенты\Вадим,\Все проекты\Иммиграция
+,31/03/2009 21:41,,,,RUR - Наличные,-154,"20,489.00",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,31/03/2009 21:42,,,,RUR - Наличные,-20,"20,469.00",,\Все статьи расхода\Хомячело,\Все платёжные агенты\Света,
+,31/03/2009 21:42,,,,RUR - Наличные,-25,"20,444.00",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Света,
+,31/03/2009 21:59,,,,RUR - Наличные,"-17,630.00","2,814.00",,\Все статьи расхода\Дом\Квартплата,\Все платёжные агенты,
+,1/04/2009 22:47,,,,RUR - Наличные,-50,"2,764.00",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты,
+,1/04/2009 22:48,,,,RUR - Наличные,-160,"2,604.00",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,1/04/2009 23:04,,,,RUR - Наличные,-20,"2,584.00",,\Все статьи расхода\Продукты\Точки общепита,\Все платёжные агенты\Света,
